text,label,source
"Mi si yuh a road, wah yuh a go?",Jamaican,synthetic
"Bwoy, yuh hear di new riddim deh?",Jamaican,synthetic
Mi a go dance with dem a di party.,Jamaican,synthetic
"Yuh haffi try dis ital stew, it sweet!",Jamaican,synthetic
Dem girl deh look good in dem dress.,Jamaican,synthetic
Mi neva see yuh from last week.,Jamaican,synthetic
"Bwoy, yuh a talk some real nonsense deh.",Jamaican,synthetic
Mi a go study fi di big exam.,Jamaican,synthetic
Wah dis smell so good yah?,Jamaican,synthetic
"Di food nuh ready as yet, yuh haffi wait.",Jamaican,synthetic
Mi neva like when people act fake.,Jamaican,synthetic
"Bwoy, yuh mus learn fi treat wimin good.",Jamaican,synthetic
Mi si yuh gyal a chat with another bwoy.,Jamaican,synthetic
Yuh think seh yuh can jus dis mi so?,Jamaican,synthetic
Mi a guh a town fi do some shopping.,Jamaican,synthetic
Di weather hot like fire dis afternoon.,Jamaican,synthetic
"Bwoy, yuh a go dead if yuh nuh be careful.",Jamaican,synthetic
Mi a guh a beach wid mi fren dem.,Jamaican,synthetic
Yuh haffi come a mi house come eat a dinner.,Jamaican,synthetic
Mi haffi work late fi night dis week.,Jamaican,synthetic
A wah yuh a seh bout mi new haircut?,Jamaican,synthetic
"Bwoy, yuh haffi help mi move dis box.",Jamaican,synthetic
Mi a guh a dancehall session dis evening.,Jamaican,synthetic
"Dis place too crowd, mi need fi leave.",Jamaican,synthetic
Mi a guh a school fi drop off mi pickney.,Jamaican,synthetic
"Yuh a look good in dem new shoes, bwoy.",Jamaican,synthetic
"Mi neva drink rum, it too strong fi mi.",Jamaican,synthetic
Di traffic bad as usual dis morning.,Jamaican,synthetic
"Mi soon reach a work, yuh need anything?",Jamaican,synthetic
"Bwoy, yuh haffi see dis new movie deh.",Jamaican,synthetic
Mi haffi go a doctor fi check up mi health.,Jamaican,synthetic
"Yuh haffi taste dis soup, it nice as hell.",Jamaican,synthetic
Mi a guh a church fi go pray dis Sunday.,Jamaican,synthetic
"Bwoy, yuh a go mad if yuh keep behave so.",Jamaican,synthetic
Mi a guh a supermarket fi buy food.,Jamaican,synthetic
Wi a guh a concert fi see di big artist.,Jamaican,synthetic
Mi haffi finish dis project before Friday.,Jamaican,synthetic
Yuh haffi come a di game support we team.,Jamaican,synthetic
"Bwoy, yuh si di moon last night? It big big.",Jamaican,synthetic
Mi a guh a gym stay fit and healthy.,Jamaican,synthetic
"Di place too noisy, mi need fi find quiet place.",Jamaican,synthetic
Yuh haffi talk to di teacher about yuh grade.,Jamaican,synthetic
"Mi soon reach a mi destination, yuh need lift?",Jamaican,synthetic
"Bwoy, yuh a go learn fi drive a car soon.",Jamaican,synthetic
Mi a guh a studio record mi new song.,Jamaican,synthetic
Wi a guh a restaurant eat sumptin good.,Jamaican,synthetic
"Mi si yuh car a di side a di road, everything OK?",Jamaican,synthetic
Yuh need fi come a di park enjoy di greenery.,Jamaican,synthetic
"Bwoy, wi need fi go a studio soon record di new track.",Jamaican,synthetic
Mi a guh a college fi further mi education.,Jamaican,synthetic
